МҮОХ|Монголын Үндэсний Олимпийн Хороо
АХГГГАХМАТ|Ажиллах хүч гадаадад гаргах, гадаадаас ажиллах хүч, мэргэжилтэн авах тухай
ТХШТХ|Төрийн хяналт шалгалтын тухай хууль
ХИС|Хүмүүнлэгийн Ухааны Их Сургууль
ҮЗХ|Үндэсний зөвлөлдөх хороо
УАШ|улсын аварга шалгаруулах
НИТХТ|Нийслэлийн Иргэдийн Төлөөлөгчдийн Хурлын Тэргүүлэгчид
ОБХ|Онцгой байдлын хэлтэс
МХХ|Монголын Хөтлөгчдийн Холбоо
ХТИХ|Хариуцлага тооцох иргэдийн хөдөлгөөн
МНБИНХ|Монголын нам бус иргэдийн нэгдсэн холбоо
АНЭУ|Арабын Нэгдсэн Эмират Улс
ДБЭТ|Дуурь бүжгийн эрдмийн театрт
НЗТН|Нийслэлийн Зорчигч Тээврийн Нэгтгэл
МТХГТҮЭХ|Монголын Тээвэр, Холбоо, Газрын Тосны Үйлдвэрчний Эвлэлийн холбоо
ШУ|шинжлэх ухаан
ЦССТ|Цус сэлбэлт судлалын үндэсний төв
МҮОНР|Монголын Үндэсний Олон Нийтийн Радио
ЭМАҮЭХ|Эрүүл Мэндийн Ажилтны Үйлдвэрчний Эвлэлийн Хороо
ОУУДАХ|Олон Улсын Унадаг Дугуйн Аяллын Холбоо
НКВД|Дотоод Хэргийн Ардын Комиссариат
ЭХЭМҮТ|Эх хүүхдийн эрүүл мэндийн үндэсний төв
МБХ|Монголын Банкны Холбоо
БТС|Биеийн тамирын сургууль
МУГТ|Монгол Улсын Гавьяат Тамирчин
МУЗ|Монголын Урлагийн Зөвлөл
БОГУУХХ|Байгаль орчин, геологи, уул уурхайн хяналтын хэлтэс
БНБУ|Бүнд Найрамдах Буриад Улс
ЭОХ|эх оронч хүмүүжил
ХХААГ|Хүнс, хөдөө аж ахуйн газар
АУ|анагаах ухаан
АШТ|аварга шалгаруулах тэмцээн
МААБХЗГ|Мал аж ахуйн бодлогын хэрэгжилтийг зохицуулах газар
ГТБХЗГ|Газар тариалангийн бодлогын хэрэгжилтийг зохицуулах газар
ХШҮДАГ|Хяналт-шинжилгээ, үнэлгээ, дотоод аудитын газар
ОУПХ|Олон улсын парламентын холбоо
МЦХ|Монголын цахилгаан холбоо
ХХААБ|Хүнс, хөдөө аж ахуйн байгууллага
МАА|мал аж ахуй
БМИҮЗ|Боловсролын магадлан итгэмжлэлийн үндэсний зөвлөл
ЭЗҮДС|Эдийн засгийн үндэсний дээд сургууль
ХУИС|Хүмүүнлэгийн Ухааны Их Сургууль
ОУЭЗБДС|Олон Улсын Эдийн Засаг Бизнесийн Дээд Сургууль
УТХГ|улсын тусгай хамгаалалттай газар
ТХГН|тусгай хамгаалалттай газар нутаг
МЭТ|Монгол экологи төв
СОУЭМС|Солонгосын Олон Улсын Эрүүл Мэндийн Сан
ҮОЭТ|Үндэсний оношилгоо, эмчилгээний төв
ОНБМТ|Олон нийтийн боловсрол, мэдээллийн төв
ЭЗХАХБ|Эдийн засгийн хамтын ажиллагаа, хөгжлийн байгууллага
ОУХТ|олон улсын худалдааны төв
БТХ|Бичил төслийн хөтөлбөр
ЛГБТ|Лесби Гей Бисексуал Трансжендер
ААШТ|Азийн аварга шалгаруулах тэмцээн
МЭ|Манай эриний
ЭМБСХТ|Эрүүл мэнд, боловсрол, соёлын хяналтын хэлтэс
ХОЭАХЗ|Хөрөнгө Оруулагчдын Эрх Ашгийг Хамгаалах Зөвлөл
НҮТББ|нийгэмд үйлчилдэг төрийн бус байгууллага
ОУХНУС|Олон улсын харилцаа нийтийн удирдлагын сургууль
ОУХДС|Олон Улсын Харилцааны Дээд Сургууль
МСЭ|Монголын Сэтгүүлчдийн Эвлэл
БНПУ|Бүгд Найрамдах Польш Улс
АЧАХ|Анголыг Чөлөөлөх Ардын Хөдөлгөөн
ХМА|Хэвлэл мэдээллийн алба
НБГ|Нийслэлийн боловсролын газар
НХЭГ|Нийслэлийн хөдөлмөр эрхлэлтийн газар
АМНАТ|ашигт малтмалын нөөц ашигласны төлбөр
ӨЗО|Өөртөө Засах Орон
ХҮИС|Худалдаа Үйлдвэрлэлийн Их Сургууль
БЗХӨ|бэлгийн замын халдварт өвчин
ЗХ|зэвсэгт хүчин
ҮАҮЗ|Үндэсний аж үйлдвэрийн зөвлөл
БОАЖГ|Байгаль орчинн аялал жуулчлалын газар
МХГ|Мэргэжлийн хяналтын газар
АШУИС|Анагаахын Шинжлэх Ухааны Их Сургууль
УЗА|Утга зохиолын ажилтан
МШХХ|Монголын шагайн харвааны холбоо
МЧБХ|Монголын чөлөөт бөхийн холбоо
МЭӨ|Манай эриний өмнөх
НБОГ|Нийслэлийн байгаль орчны газар
ХөҮБХЗГ|Хөнгөн үйлдвэрийн бодлогын хэрэгжилтийг зохицуулах газар
ХХАА|хүнс, хөдөө аж ахуй
ХО|Хот орчим
ТӨХ|Төрийн өмчийн хороо
МҮЭСТ|Монголын үйлдвэрчний эвлэлийн соёлын төв
ЦТС|цахилгаан түгээх сүлжээ
МГТИС|Монгол-Германы хамтарсан ашигт малтмал, технологийн их сургууль
СХЗГ|Стандарт, хэмжил зүйн газар
МСС|Мянганы сорилын сан
МҮБХ|Монголын Үндэсний Бөхийн Холбоо
УБДС|Улаанбаатар дулааны сүлжээ
УБЦТС|Улаанбаатар цахилгаан түгээх станц
БХЗГ|Бодлогын хэрэгжилтийг зохицуулах газар
ЦДАШ|цахилгаан дамжуулах агаарын шугам
ЦДҮС|Цахилгаан дамжуулах үндэсний сүлжээ
ББЗХ|Байгалийн баялгийн засаглалын хүрээлэн
НГХДБГ|Нийслэлийн гэр хорооллын дэд бүтцийн газар
МИДСК|Монголын их, дээд сургуулиудын консорциум
АИХЭГ|Ардчилсан институтууд, хүний эрхийн газар
ТӨХХК|төрийн өмчит хязгаарлагдмал хариуцлагатай компани
ҮЦК|үнэт цаасны компани
МУГЖ|Монгол Улсын Гавьяат Жүжигчин
БНИУ|Бүгд Найрамдах Итали Улс
ЖДҮХБХЗГ|Жижиг, дунд үйлдвэр, хоршооны бодлогын хэрэгжилтийг зохицуулах газар
БОХУБ|байгаль орчны хяналтын улсын байцаагч
ДЦГ|дархан цаазат газар
МБШТ|Монголын бурхан шашны төв
СГЗ|Соёлын гавьяат зүтгэлтэн
УУ|уул уурхай
МБЗ|Монголын Бизнесийн Зөвлөл
УЦУОШГ|Ус цаг уур, орчны шинжилгээний газар
НИТАЖ|Нутгийн иргэдэд түшиглэсэн аялал жуулчлал
БЦГ|байгалийн цогцолборт газар
ШНУГТЭ|Шастины нэрэмжит улсын гуравдугаар төв эмнэлэг
УБХ|Улсын Бага Хурал
МҮАН|Монгол Үндэсний Ардчилсан Нам
ГУХ|Гал унтраах хэлтэс
МУУГЗ|Монгол Улсын Урлагийн Гавьяат Зүтгэлтэн
ЭНХ|Энэтхэгийн нисэх хүчин
МСК|Мянганы сорилтын корпораци
ТУС|Тохируулагатай Угсардаг Систем
ХХГХ|хүн худалдаалах гэмт хэрэг
МТХ|Монголын Телевизүүдийн Холбоо
ГТСМТТ|Гааль татвар санхүүгийн мэдээлэл технологийн төв
УТҮГ|улсын төсөвт үйлдвэрийн газар
ХСНХ|Хэрэглэгчийн систем нийлүүлэгчдийн холбоо
УДБЭЧ|Улсын дуу бүжгийн эрдмийн чуулга
ДОӨБ|Дэлхийн Оюуны Өмчийн Байгууллага
ҮХЦ|Үндсэн Хуулийн Цэц
НББСШУБХ|Нийгмийн бодлого, боловсрол, соёл, шинжлэх ухааны байнгын хороо
МҮИС|Монголын Үндэсний Их Сургууль
МАОЭХ|Монголын ажил олгогч эздийн холбоо
МҮХАҮ|Монголын үндэсний худалдаа аж үйлдвэр
НАМОХ|Нийгмийн Ардчилал Монголын Оюутны холбоо
АТАШТ|Ази тивийн аварга шалгаруулах тэмцээн
МТҮП|Мэдээлэл технологийн үндэсний парк
НАЗХГ|Нийслэлийн авто замын хөгжлийн газар
ХХЗХ|Харилцаа Холбооны Зохицуулах Хороо
ИЗОУИС|Их Засаг Олон Улсын Их Сургууль
АХХС|Азийн хотуудын хөгжлийн санаачилга
МХХТДИ|Мэдээлэл, харилцаа холбооны технологийг дэлгэрүүлэх институци
АТОЗ|Ард түмний онц түр зөвлөл
ЦДБЭЧ|Цэргийн дуу бүжгийн эрдмийн чуулга
ХЦДБЧ|Хилийн цэргийн дуу бүжгийн чуулга
ЗТН|Зорчигч тээврийн нэгтгэл
СЭЗДС|Санхүү Эдийн Засгийн Дээд Сургууль
ИЗББ|ипотекийн зээлээр баталгаажсан бонд
МУСГЗ|Монгол Улсын Соёлын Гавьяат Зүтгэлтэн
МХЭАХНҮХ|Монголын хэрэглэгчдийн эрх ашгийг хамгаалах нийгэмлэгүүдийн үндэсний холбоо
АИХЭА|Ардчилсан институт хүний эрхийн алба
ХСАХ|Хязгаарлагдмал сонгууль ажиглах хороо
ДБХХ|Дэд бүтцийн хяналтын хэлтэс
АХЦС|автомашиныг хийгээр цэнэглэх станц
МҮЭСТО|Монголын үйлдвэрчний эвлэлийн соёлын төв ордон
АМТГ|Ашигт малтмал газрын тосны газар
БНН|Бүгд Найрамдах Нам
УОК|Улсын онцгой комисс
НАЗГ|Нийслэлийн авто замын хөгжлийн газар
ИБТ|Иргэний боловсролын төв
БҮТ|Боловсролын үнэлгээний төв
МСБХ|Монголын сагсан бөмбөгийн холбоо
ҮБТДС|Үндэсний биеийн тамирын дээд сургууль
БТТА|Биеийн тамирын тэргүүний ажилтан
БХИС|Батлан Хамгаалахын Их Сургууль
МҮСБХ|Монголын үндэсний сагсан бөмбөгийн холбоо
БХД|Багахангай дүүрэг
БНД|Багануур дүүрэг
ШШГБ|Шүүхийн шийдвэр гүйцэтгэх байгууллага
ХӨТСА|Халдварт өвчний тандалт судалгааны алба
НСУГ|Нийслэлийн Соёл Урлагийн Газар
НАЖГ|Нийслэлийн Аялал Жуулчлалын Газар
ДБ|Дэлхийн Банк
ХЭХ|Хувьцаа эзэмшигчдийн хурал
ЭҮ|Эрдэнэт Үйлдвэр
ЭЦА|Эрүүгийн цагдаагийн алба
ҮБХ|Үндэсний бодлогын хороо
ШШҮХ|Шүүхийн шинжилгээний үндэсний хүрээлэн
МАЖХ|Монголын аялал жуулчлалын холбоо
ХБОБНУГ|Хүрээлэн буй орчин, байгалийн нөөцийн удирдлагын газар
БНӨСУ|Бүгд Найрамдах Өмнөд Судан Улс
СУИС|Соёл Урлагийн Их Сургууль
УЦУОСМХ|Ус цаг уур, орчны судалгаа, мэдээллийн хүрээлэн
ӨАБНУ|Өмнөд Африкийн Бүгд Найрамдах Улс
МОХ|Монголын оюутны холбоо
ИТХ|Иргэдийн Төлөөлөгчдийн Хурал
МБОИЗ|Монголын байгаль орчны иргэний зөвлөл
БУХС|Бизнесийн удирдлага, Хүмүүнлэгийн сургууль
ЭЦГ|Эрүүгийн цагдаагийн газар
ХМОНХА|Хэвлэл мэдээлэл олон нийттэй харилцах алба
ХЭЗ|Хүний эрхийн зөвлөл
СХНЭ|Сонгинохайрхан дүүргийн нэгдсэн эмнэлэг
ХУНЭ|Хан-Уул дүүргийн нэгдсэн эмнэлэг
БЗНЭ|Баянзүрх дүүргийн нэгдсэн эмнэлэг
СБНЭ|Сүхбаатар дүүргийн нэгдсэн эмнэлэг
НДШ|нийгмийн даатгалын шимтгэл
ГХО|гадаадын хөрөнгө оруулагч
МУАЖ|Монгол Улсын Ардын Жүжигчин
ХХАХҮ|Хүнс Хөдөө Аж Ахуй Хөнгөн Үйлдвэр
ТЕГ|Тагнуулын ерөнхий газар
БСШУСЯ|Боловсрол Соёл Шинжлэх Ухаан Спортын Яам
ЦЕГ|Цагдаагийн ерөнхий газар
ЕБС|Ерөнхий боловсролын сургууль
ШШГЕГ|Шүүхийн шийдвэр гүйцэтгэх ерөнхий газар
ЭСЯ|Элчин Сайдын Яам
МХЕГ|Мэргэжлийн хяналтын ерөнхий газар
ХНХЯ|Хөдөлмөр Нийгмийн Хамгааллын Яам
ХЗДХЯ|Хууль Зүй Дотоод Хэргийн Яам
ГХЯ|Гадаад Харилцааны Яам
АЖЯ|Аялал Жуулчлалын яам
БОАЖЯ|Байгаль Орчин Аялал Жуулчлалын Яам
УУХҮЯ|Уул Уурхай Хүнд Үйлдвэрийн Яам
БХБЯ|Барилга, Хот Байгуулалтын Яам
ЗТХЯ|Зам, Тээврийн Хөгжлийн Яам
ЭМЯ|Эрүүл Мэндийн Яам
БСШУЯ|Боловсрол Соёл Шинжлэх Ухааны Яам
ОӨУБЕГ|Оюуны өмч, улсын бүртгэлийн ерөнхий газар
НДЕГ|Нийгмийн даатгалын ерөнхий газар
ОБЕГ|Онцгой байдлын ерөнхий газар
БХЯ|Батлан Хамгаалах Яам
ЕАБХАБ|Европын аюулгүй байдал хамтын ажиллагааны байгууллага
ЕНБД|Ерөнхий нарийн бичгийн дарга
ХХААХҮЯ|Хүнс Хөдөө Аж Ахуй Хөнгөн Үйлдвэрийн Яам
ЭХЯ|Эрчим Хүчний Яам
УЕПГ|Улсын ерөнхий прокурорын газар
ИНЕГ|Иргэний нисэхийн ерөнхий газар
НАХЯ|Нийгмийг Аюулаас Хамгаалах Яам
УАХЕГ|Улсыг аюулаас хамгаалах ерөнхий газар
ХААЯ|Хөдөө Аж Ахуйн Яам
УБЕГ|Улсын бүртгэлийн ерөнхий газар
ГЕГ|Гаалийн Ерөнхий Газар
ЭЕШ|элсэлтийн ерөнхий шалгалт
ЕХБХ|Европын хөлбөмбөгийн холбоо
АЕГ|Архивын ерөнхий газар
ЕСБХБ|Европын сэргээн босголт хөгжлийн банк
ЕАШТ|Европын аварга шалгаруулах тэмцээн
НХХЯ|Нийгмийн Хамгаалал Хөдөлмөрийн Яам
НМХЕГ|Нийслэлийн мэргэжлийн хяналтын ерөнхий газар
БШУЯ|Боловсрол Шинжлэх Ухааны Яам
СЕХ|Сонгуулийн Ерөнхий Хороо
ЗТЯ|Зам Тээврийн Яам
ҮТЕГ|Үндэсний татварын ерөнхий газар
ХХЕГ|Хил хамгаалах ерөнхий газар
ШЕЗ|Шүүхийн ерөнхий зөвлөл
ЕАЭЗХ|Евразийн эдийн засгийн холбоо
ДХЯ|Дотоод Хэргийн Яам
ГЯЯ|Гадаад Явдлын Яам
УУХЯ|Уул Уурхай Хүнд Үйлдвэрийн Яам
ЕХ|Европын холбоо
УУЯ|Уул Уурхайн Яам
АТӨЯХ|Авто тээвэр, өөрөө явагч хэрэгсэл
ХК|хувьцаат компани
ХХК|хязгаарлагдмал хариуцлагатай компани 
НГХУСАЗЗ|Нийслэлийн гэмт хэргээс урьдчилан сэргийлэх ажлыг зохицуулах зөвлөл
ОТ|Оюу толгой
ЗГХМОНХХ|засгийн газрын хэвлэл мэдээлэл олон нийттэй харилцах хэлтэс